subgroup,year,percentile,Annuitized Financial Income,DB Pension Income,Earned Income,Federal Income Tax,HI tax,Imputed Rental Income,Means+Nonmeans Benefits,Medicare Part B Premium,Medicare Part D Premium,Medicare Surtax,Net Annuity Income,Net Cash Income,OASDI tax,Other Family Member Income,Own Benefit,Own Earnings,Per Capita Annuity Income,Per Capita Cash Income,Per Capita Dividend Income,Per Capita Interest Income,Per Capita IRA Withdrawal,Per Capita Rental Income,Social Security Benefits,Spouse Benefit,Spouse Earnings,SSI,State Income Tax,group
African-Americans,2015,Mean,0.0,-50.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.0,-41.0,0.0,0.0,0.0,0.0,-49.0,-48.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,Race/Ethnicity
African-Americans,2015,P10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Race/Ethnicity
African-Americans,2015,P25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.200000000000728,0.0,0.0,0.0,0.0,0.0,-10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Race/Ethnicity
African-Americans,2015,P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Race/Ethnicity
African-Americans,2015,P50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.70000000000073,-54.79999999999927,0.0,0.0,0.0,0.0,-117.79999999999927,-56.20000000000073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Race/Ethnicity
African-Americans,2015,P75,0.0,-204.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-84.0,0.0,0.0,0.0,0.0,0.0,-29.0,-63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,Race/Ethnicity
African-Americans,2015,P90,0.0,0.0,0.0,-54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,Race/Ethnicity
African-Americans,2015,P95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1006.0,0.0,0.0,0.0,0.0,0.0,-145.0,-149.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Race/Ethnicity
African-Americans,2025,Mean,26.0,-35.0,-48.0,-47.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-116.0,-128.0,48.0,-45.0,-42.0,-38.0,-124.0,-136.0,2.0,-3.0,13.0,1.0,10.0,-79.0,-39.0,-76.0,-8.0,Race/Ethnicity
African-Americans,2025,P10,7.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.6400000000003,551.5200000000004,0.0,0.0,0.0,0.0,555.0400000000009,793.0499999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Race/Ethnicity
African-Americans,2025,P25,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.5,160.0,0.0,0.0,859.9000000000005,0.0,26.399999999999636,163.3000000000011,0.0,0.0,0.0,0.0,655.8000000000002,0.0,0.0,0.0,0.0,Race/Ethnicity
African-Americans,2025,P5,0.480000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.63999999999942,395.4599999999996,0.0,0.0,0.0,0.0,424.9300000000003,508.21000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Race/Ethnicity
African-Americans,2025,P50,22.09999999999991,0.0,0.0,0.0,0.0,-9.900000000000091,0.0,0.0,0.0,0.0,-357.2000000000007,-422.59999999999854,0.0,0.0,-257.5,0.0,-202.09999999999854,-359.7999999999993,0.0,0.0,0.0,0.0,14.200000000000728,0.0,0.0,0.0,0.0,Race/Ethnicity
African-Americans,2025,P75,108.0,-127.0,-31.0,-74.0,-1.0,5.0,0.0,0.0,0.0,0.0,-465.0,-295.0,21.0,0.0,-461.0,0.0,-538.0,-416.0,0.0,0.0,63.0,0.0,-467.0,-226.0,0.0,0.0,-6.0,Race/Ethnicity
African-Americans,2025,P90,-34.0,0.0,-123.0,-229.0,-2.0,0.0,0.0,0.0,0.0,0.0,-347.0,-328.0,115.0,0.0,-488.0,-108.0,-577.0,-480.0,3.0,0.0,115.0,0.0,-535.0,-518.0,-90.0,0.0,-17.0,Race/Ethnicity
African-Americans,2025,P95,19.0,0.0,-205.0,-278.0,-3.0,0.0,0.0,0.0,0.0,0.0,-438.0,-301.0,187.0,0.0,-518.0,-181.0,-246.0,-461.0,0.0,10.0,59.0,0.0,-521.0,-475.0,-201.0,-1759.0,-26.0,Race/Ethnicity
African-Americans,2035,Mean,195.0,-21.0,-59.0,-98.0,-1.0,1.0,-1.0,-3.0,-1.0,-1.0,-398.0,-542.0,58.0,35.0,-607.0,-49.0,-450.0,-595.0,-1.0,-2.0,54.0,0.0,-500.0,-510.0,-46.0,-67.0,-8.0,Race/Ethnicity
African-Americans,2035,P10,23.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350.88,668.9700000000003,0.0,0.0,0.0,0.0,1489.460000000001,775.9200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Race/Ethnicity
African-Americans,2035,P25,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.3000000000011,175.29999999999927,0.0,0.0,159.19999999999982,0.0,279.39999999999964,114.80000000000109,0.0,0.0,0.0,0.0,989.2000000000007,0.0,0.0,0.0,0.0,Race/Ethnicity
African-Americans,2035,P5,4.519999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.6800000000003,67.47000000000025,0.0,0.0,0.0,0.0,672.79,366.6899999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Race/Ethnicity
African-Americans,2035,P50,191.19999999999982,0.0,0.0,0.0,0.0,2.6000000000000227,0.0,0.0,0.0,0.0,-817.5,-845.0999999999985,0.0,0.0,-518.0,0.0,-644.7000000000007,-756.0,0.0,0.0,0.0,0.0,-341.89999999999964,0.0,0.0,0.0,0.0,Race/Ethnicity
African-Americans,2035,P75,285.0,-69.0,-23.0,-110.0,0.0,2.0,0.0,0.0,0.0,0.0,-1377.0,-1408.0,17.0,0.0,-1392.0,0.0,-1018.0,-1314.0,0.0,0.0,215.0,0.0,-1442.0,-920.0,0.0,0.0,-5.0,Race/Ethnicity
African-Americans,2035,P90,18.0,-264.0,-144.0,-298.0,-2.0,0.0,0.0,0.0,0.0,0.0,-776.0,-630.0,139.0,0.0,-1937.0,-119.0,-1575.0,-718.0,-10.0,-11.0,51.0,0.0,-1565.0,-2186.0,-84.0,0.0,-12.0,Race/Ethnicity
African-Americans,2035,P95,569.0,0.0,-246.0,-162.0,-4.0,0.0,16.0,0.0,0.0,0.0,-1539.0,-903.0,243.0,0.0,-2086.0,-241.0,-1992.0,-901.0,0.0,0.0,59.0,0.0,-1679.0,-2854.0,-64.0,0.0,-20.0,Race/Ethnicity
African-Americans,2045,Mean,541.0,-9.0,-72.0,-120.0,-1.0,1.0,11.0,-6.0,-2.0,-2.0,-339.0,-525.0,72.0,24.0,-929.0,-59.0,-404.0,-589.0,-1.0,-12.0,369.0,2.0,-811.0,-867.0,-57.0,-66.0,-6.0,Race/Ethnicity
African-Americans,2045,P10,66.80000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1680.4799999999996,1360.4099999999999,0.0,0.0,0.0,0.0,1793.7900000000009,1313.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Race/Ethnicity
African-Americans,2045,P25,240.79999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.3999999999996,332.2999999999993,0.0,0.0,-332.89999999999964,0.0,357.09999999999854,321.60000000000036,0.0,0.0,0.0,0.0,624.2999999999993,0.0,0.0,0.0,0.0,Race/Ethnicity
African-Americans,2045,P5,7.060000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,779.8899999999999,455.97000000000025,0.0,0.0,0.0,0.0,880.6299999999992,261.3099999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Race/Ethnicity
African-Americans,2045,P50,599.7000000000003,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-518.7999999999993,-886.7000000000007,0.0,0.0,-592.3999999999996,0.0,-266.2000000000007,-859.6000000000022,0.0,0.0,0.0,0.0,-473.0,0.0,0.0,0.0,0.0,Race/Ethnicity
